Metabolite name (full),Metabolite name,Class,Alignment ID,Platform,Identification,Unit,Original_row,SCN_E19_ZT00_1,SCN_E19_ZT00_2,SCN_E19_ZT00_3,SCN_E19_ZT00_4,SCN_E19_ZT00_5,SCN_E19_ZT04_1,SCN_E19_ZT04_2,SCN_E19_ZT04_3,SCN_E19_ZT04_4,SCN_E19_ZT04_5,SCN_E19_ZT08_1,SCN_E19_ZT08_2,SCN_E19_ZT08_3,SCN_E19_ZT08_4,SCN_E19_ZT08_5,SCN_E19_ZT12_1,SCN_E19_ZT12_2,SCN_E19_ZT12_3,SCN_E19_ZT12_4,SCN_E19_ZT12_5,SCN_E19_ZT16_1,SCN_E19_ZT16_2,SCN_E19_ZT16_3,SCN_E19_ZT16_4,SCN_E19_ZT16_5,SCN_E19_ZT20_1,SCN_E19_ZT20_2,SCN_E19_ZT20_3,SCN_E19_ZT20_4,SCN_E19_ZT20_5,SCN_E19_ZT24_1,SCN_E19_ZT24_2,SCN_E19_ZT24_3,SCN_E19_ZT24_4,SCN_E19_ZT24_5,SCN_P02_ZT00_1,SCN_P02_ZT00_2,SCN_P02_ZT00_3,SCN_P02_ZT00_4,SCN_P02_ZT00_5,SCN_P02_ZT04_1,SCN_P02_ZT04_2,SCN_P02_ZT04_3,SCN_P02_ZT04_4,SCN_P02_ZT04_5,SCN_P02_ZT08_1,SCN_P02_ZT08_2,SCN_P02_ZT08_3,SCN_P02_ZT08_4,SCN_P02_ZT08_5,SCN_P02_ZT12_1,SCN_P02_ZT12_2,SCN_P02_ZT12_3,SCN_P02_ZT12_4,SCN_P02_ZT12_5,SCN_P02_ZT16_1,SCN_P02_ZT16_2,SCN_P02_ZT16_3,SCN_P02_ZT16_4,SCN_P02_ZT16_5,SCN_P02_ZT20_1,SCN_P02_ZT20_2,SCN_P02_ZT20_3,SCN_P02_ZT20_4,SCN_P02_ZT20_5,SCN_P02_ZT24_1,SCN_P02_ZT24_2,SCN_P02_ZT24_3,SCN_P02_ZT24_4,SCN_P02_ZT24_5,SCN_P10_ZT00_1,SCN_P10_ZT00_2,SCN_P10_ZT00_3,SCN_P10_ZT00_4,SCN_P10_ZT00_5,SCN_P10_ZT04_1,SCN_P10_ZT04_2,SCN_P10_ZT04_3,SCN_P10_ZT04_4,SCN_P10_ZT04_5,SCN_P10_ZT08_1,SCN_P10_ZT08_2,SCN_P10_ZT08_3,SCN_P10_ZT08_4,SCN_P10_ZT08_5,SCN_P10_ZT12_1,SCN_P10_ZT12_2,SCN_P10_ZT12_3,SCN_P10_ZT12_4,SCN_P10_ZT12_5,SCN_P10_ZT16_1,SCN_P10_ZT16_2,SCN_P10_ZT16_3,SCN_P10_ZT16_4,SCN_P10_ZT16_5,SCN_P10_ZT20_1,SCN_P10_ZT20_2,SCN_P10_ZT20_3,SCN_P10_ZT20_4,SCN_P10_ZT20_5,SCN_P10_ZT24_1,SCN_P10_ZT24_2,SCN_P10_ZT24_3,SCN_P10_ZT24_4,SCN_P10_ZT24_5,SCN_P20_ZT00_1,SCN_P20_ZT00_2,SCN_P20_ZT00_3,SCN_P20_ZT00_4,SCN_P20_ZT00_5,SCN_P20_ZT04_1,SCN_P20_ZT04_2,SCN_P20_ZT04_3,SCN_P20_ZT04_4,SCN_P20_ZT04_5,SCN_P20_ZT08_1,SCN_P20_ZT08_2,SCN_P20_ZT08_3,SCN_P20_ZT08_4,SCN_P20_ZT08_5,SCN_P20_ZT12_1,SCN_P20_ZT12_2,SCN_P20_ZT12_3,SCN_P20_ZT12_4,SCN_P20_ZT12_5,SCN_P20_ZT16_1,SCN_P20_ZT16_2,SCN_P20_ZT16_3,SCN_P20_ZT16_4,SCN_P20_ZT16_5,SCN_P20_ZT20_1,SCN_P20_ZT20_2,SCN_P20_ZT20_3,SCN_P20_ZT20_4,SCN_P20_ZT20_5,SCN_P20_ZT24_1,SCN_P20_ZT24_2,SCN_P20_ZT24_3,SCN_P20_ZT24_4,SCN_P20_ZT24_5,SCN_P28_ZT00_1,SCN_P28_ZT00_2,SCN_P28_ZT00_3,SCN_P28_ZT00_4,SCN_P28_ZT00_5,SCN_P28_ZT04_1,SCN_P28_ZT04_2,SCN_P28_ZT04_3,SCN_P28_ZT04_4,SCN_P28_ZT04_5,SCN_P28_ZT08_1,SCN_P28_ZT08_2,SCN_P28_ZT08_3,SCN_P28_ZT08_4,SCN_P28_ZT08_5,SCN_P28_ZT12_1,SCN_P28_ZT12_2,SCN_P28_ZT12_3,SCN_P28_ZT12_4,SCN_P28_ZT12_5,SCN_P28_ZT16_1,SCN_P28_ZT16_2,SCN_P28_ZT16_3,SCN_P28_ZT16_4,SCN_P28_ZT16_5,SCN_P28_ZT20_1,SCN_P28_ZT20_2,SCN_P28_ZT20_3,SCN_P28_ZT20_4,SCN_P28_ZT20_5,SCN_P28_ZT24_1,SCN_P28_ZT24_2,SCN_P28_ZT24_3,SCN_P28_ZT24_4,SCN_P28_ZT24_5,PLS_E19_ZT00_1,PLS_E19_ZT00_2,PLS_E19_ZT00_3,PLS_E19_ZT00_4,PLS_E19_ZT00_5,PLS_E19_ZT04_1,PLS_E19_ZT04_2,PLS_E19_ZT04_3,PLS_E19_ZT04_4,PLS_E19_ZT04_5,PLS_E19_ZT08_1,PLS_E19_ZT08_2,PLS_E19_ZT08_3,PLS_E19_ZT08_4,PLS_E19_ZT08_5,PLS_E19_ZT12_1,PLS_E19_ZT12_2,PLS_E19_ZT12_3,PLS_E19_ZT12_4,PLS_E19_ZT12_5,PLS_E19_ZT16_1,PLS_E19_ZT16_2,PLS_E19_ZT16_3,PLS_E19_ZT16_4,PLS_E19_ZT16_5,PLS_E19_ZT20_1,PLS_E19_ZT20_2,PLS_E19_ZT20_3,PLS_E19_ZT20_4,PLS_E19_ZT20_5,PLS_E19_ZT24_1,PLS_E19_ZT24_2,PLS_E19_ZT24_3,PLS_E19_ZT24_4,PLS_E19_ZT24_5,PLS_P02_ZT00_1,PLS_P02_ZT00_2,PLS_P02_ZT00_3,PLS_P02_ZT00_4,PLS_P02_ZT00_5,PLS_P02_ZT04_1,PLS_P02_ZT04_2,PLS_P02_ZT04_3,PLS_P02_ZT04_4,PLS_P02_ZT04_5,PLS_P02_ZT08_1,PLS_P02_ZT08_2,PLS_P02_ZT08_3,PLS_P02_ZT08_4,PLS_P02_ZT08_5,PLS_P02_ZT12_1,PLS_P02_ZT12_2,PLS_P02_ZT12_3,PLS_P02_ZT12_4,PLS_P02_ZT12_5,PLS_P02_ZT16_1,PLS_P02_ZT16_2,PLS_P02_ZT16_3,PLS_P02_ZT16_4,PLS_P02_ZT16_5,PLS_P02_ZT20_1,PLS_P02_ZT20_2,PLS_P02_ZT20_3,PLS_P02_ZT20_4,PLS_P02_ZT20_5,PLS_P02_ZT24_1,PLS_P02_ZT24_2,PLS_P02_ZT24_3,PLS_P02_ZT24_4,PLS_P02_ZT24_5,PLS_P10_ZT00_1,PLS_P10_ZT00_2,PLS_P10_ZT00_3,PLS_P10_ZT00_4,PLS_P10_ZT00_5,PLS_P10_ZT04_1,PLS_P10_ZT04_2,PLS_P10_ZT04_3,PLS_P10_ZT04_4,PLS_P10_ZT04_5,PLS_P10_ZT08_1,PLS_P10_ZT08_2,PLS_P10_ZT08_3,PLS_P10_ZT08_4,PLS_P10_ZT08_5,PLS_P10_ZT12_1,PLS_P10_ZT12_2,PLS_P10_ZT12_3,PLS_P10_ZT12_4,PLS_P10_ZT12_5,PLS_P10_ZT16_1,PLS_P10_ZT16_2,PLS_P10_ZT16_3,PLS_P10_ZT16_4,PLS_P10_ZT16_5,PLS_P10_ZT20_1,PLS_P10_ZT20_2,PLS_P10_ZT20_3,PLS_P10_ZT20_4,PLS_P10_ZT20_5,PLS_P10_ZT24_1,PLS_P10_ZT24_2,PLS_P10_ZT24_3,PLS_P10_ZT24_4,PLS_P10_ZT24_5,PLS_P20_ZT00_1,PLS_P20_ZT00_2,PLS_P20_ZT00_3,PLS_P20_ZT00_4,PLS_P20_ZT00_5,PLS_P20_ZT04_1,PLS_P20_ZT04_2,PLS_P20_ZT04_3,PLS_P20_ZT04_4,PLS_P20_ZT04_5,PLS_P20_ZT08_1,PLS_P20_ZT08_2,PLS_P20_ZT08_3,PLS_P20_ZT08_4,PLS_P20_ZT08_5,PLS_P20_ZT12_1,PLS_P20_ZT12_2,PLS_P20_ZT12_3,PLS_P20_ZT12_4,PLS_P20_ZT12_5,PLS_P20_ZT16_1,PLS_P20_ZT16_2,PLS_P20_ZT16_3,PLS_P20_ZT16_4,PLS_P20_ZT16_5,PLS_P20_ZT20_1,PLS_P20_ZT20_2,PLS_P20_ZT20_3,PLS_P20_ZT20_4,PLS_P20_ZT20_5,PLS_P20_ZT24_1,PLS_P20_ZT24_2,PLS_P20_ZT24_3,PLS_P20_ZT24_4,PLS_P20_ZT24_5,PLS_P28_ZT00_1,PLS_P28_ZT00_2,PLS_P28_ZT00_3,PLS_P28_ZT00_4,PLS_P28_ZT00_5,PLS_P28_ZT04_1,PLS_P28_ZT04_2,PLS_P28_ZT04_3,PLS_P28_ZT04_4,PLS_P28_ZT04_5,PLS_P28_ZT08_1,PLS_P28_ZT08_2,PLS_P28_ZT08_3,PLS_P28_ZT08_4,PLS_P28_ZT08_5,PLS_P28_ZT12_1,PLS_P28_ZT12_2,PLS_P28_ZT12_3,PLS_P28_ZT12_4,PLS_P28_ZT12_5,PLS_P28_ZT16_1,PLS_P28_ZT16_2,PLS_P28_ZT16_3,PLS_P28_ZT16_4,PLS_P28_ZT16_5,PLS_P28_ZT20_1,PLS_P28_ZT20_2,PLS_P28_ZT20_3,PLS_P28_ZT20_4,PLS_P28_ZT20_5,PLS_P28_ZT24_1,PLS_P28_ZT24_2,PLS_P28_ZT24_3,PLS_P28_ZT24_4,PLS_P28_ZT24_5,LIV_E19_ZT00_1,LIV_E19_ZT00_2,LIV_E19_ZT00_3,LIV_E19_ZT00_4,LIV_E19_ZT00_5,LIV_E19_ZT04_1,LIV_E19_ZT04_2,LIV_E19_ZT04_3,LIV_E19_ZT04_4,LIV_E19_ZT04_5,LIV_E19_ZT08_1,LIV_E19_ZT08_2,LIV_E19_ZT08_3,LIV_E19_ZT08_4,LIV_E19_ZT08_5,LIV_E19_ZT12_1,LIV_E19_ZT12_2,LIV_E19_ZT12_3,LIV_E19_ZT12_4,LIV_E19_ZT12_5,LIV_E19_ZT16_1,LIV_E19_ZT16_2,LIV_E19_ZT16_3,LIV_E19_ZT16_4,LIV_E19_ZT16_5,LIV_E19_ZT20_1,LIV_E19_ZT20_2,LIV_E19_ZT20_3,LIV_E19_ZT20_4,LIV_E19_ZT20_5,LIV_E19_ZT24_1,LIV_E19_ZT24_2,LIV_E19_ZT24_3,LIV_E19_ZT24_4,LIV_E19_ZT24_5,LIV_P02_ZT00_1,LIV_P02_ZT00_2,LIV_P02_ZT00_3,LIV_P02_ZT00_4,LIV_P02_ZT00_5,LIV_P02_ZT04_1,LIV_P02_ZT04_2,LIV_P02_ZT04_3,LIV_P02_ZT04_4,LIV_P02_ZT04_5,LIV_P02_ZT08_1,LIV_P02_ZT08_2,LIV_P02_ZT08_3,LIV_P02_ZT08_4,LIV_P02_ZT08_5,LIV_P02_ZT12_1,LIV_P02_ZT12_2,LIV_P02_ZT12_3,LIV_P02_ZT12_4,LIV_P02_ZT12_5,LIV_P02_ZT16_1,LIV_P02_ZT16_2,LIV_P02_ZT16_3,LIV_P02_ZT16_4,LIV_P02_ZT16_5,LIV_P02_ZT20_1,LIV_P02_ZT20_2,LIV_P02_ZT20_3,LIV_P02_ZT20_4,LIV_P02_ZT20_5,LIV_P02_ZT24_1,LIV_P02_ZT24_2,LIV_P02_ZT24_3,LIV_P02_ZT24_4,LIV_P02_ZT24_5,LIV_P10_ZT00_1,LIV_P10_ZT00_2,LIV_P10_ZT00_3,LIV_P10_ZT00_4,LIV_P10_ZT00_5,LIV_P10_ZT04_1,LIV_P10_ZT04_2,LIV_P10_ZT04_3,LIV_P10_ZT04_4,LIV_P10_ZT04_5,LIV_P10_ZT08_1,LIV_P10_ZT08_2,LIV_P10_ZT08_3,LIV_P10_ZT08_4,LIV_P10_ZT08_5,LIV_P10_ZT12_1,LIV_P10_ZT12_2,LIV_P10_ZT12_3,LIV_P10_ZT12_4,LIV_P10_ZT12_5,LIV_P10_ZT16_1,LIV_P10_ZT16_2,LIV_P10_ZT16_3,LIV_P10_ZT16_4,LIV_P10_ZT16_5,LIV_P10_ZT20_1,LIV_P10_ZT20_2,LIV_P10_ZT20_3,LIV_P10_ZT20_4,LIV_P10_ZT20_5,LIV_P10_ZT24_1,LIV_P10_ZT24_2,LIV_P10_ZT24_3,LIV_P10_ZT24_4,LIV_P10_ZT24_5,LIV_P20_ZT00_1,LIV_P20_ZT00_2,LIV_P20_ZT00_3,LIV_P20_ZT00_4,LIV_P20_ZT00_5,LIV_P20_ZT04_1,LIV_P20_ZT04_2,LIV_P20_ZT04_3,LIV_P20_ZT04_4,LIV_P20_ZT04_5,LIV_P20_ZT08_1,LIV_P20_ZT08_2,LIV_P20_ZT08_3,LIV_P20_ZT08_4,LIV_P20_ZT08_5,LIV_P20_ZT12_1,LIV_P20_ZT12_2,LIV_P20_ZT12_3,LIV_P20_ZT12_4,LIV_P20_ZT12_5,LIV_P20_ZT16_1,LIV_P20_ZT16_2,LIV_P20_ZT16_3,LIV_P20_ZT16_4,LIV_P20_ZT16_5,LIV_P20_ZT20_1,LIV_P20_ZT20_2,LIV_P20_ZT20_3,LIV_P20_ZT20_4,LIV_P20_ZT20_5,LIV_P20_ZT24_1,LIV_P20_ZT24_2,LIV_P20_ZT24_3,LIV_P20_ZT24_4,LIV_P20_ZT24_5,LIV_P28_ZT00_1,LIV_P28_ZT00_2,LIV_P28_ZT00_3,LIV_P28_ZT00_4,LIV_P28_ZT00_5,LIV_P28_ZT04_1,LIV_P28_ZT04_2,LIV_P28_ZT04_3,LIV_P28_ZT04_4,LIV_P28_ZT04_5,LIV_P28_ZT08_1,LIV_P28_ZT08_2,LIV_P28_ZT08_3,LIV_P28_ZT08_4,LIV_P28_ZT08_5,LIV_P28_ZT12_1,LIV_P28_ZT12_2,LIV_P28_ZT12_3,LIV_P28_ZT12_4,LIV_P28_ZT12_5,LIV_P28_ZT16_1,LIV_P28_ZT16_2,LIV_P28_ZT16_3,LIV_P28_ZT16_4,LIV_P28_ZT16_5,LIV_P28_ZT20_1,LIV_P28_ZT20_2,LIV_P28_ZT20_3,LIV_P28_ZT20_4,LIV_P28_ZT20_5,LIV_P28_ZT24_1,LIV_P28_ZT24_2,LIV_P28_ZT24_3,LIV_P28_ZT24_4,LIV_P28_ZT24_5
CAR 2:0; [M+H]+,CAR 2:0,CAR,403,HILICp,RTMZ-Lib,arb. unit,1,1603206,1714901,1045878,1318401,1918982,1916953,1971036,2872294,1463246,1752109,1160923,1397561,1539850,1671242,1321816,1011828,1391407,1397954,1296271,1676406,1227638,1313701,1262365,1301214,1131225,797249,1475022,1053955,1052115,1310032,1527343,1558710,1842683,1421459,1523848,1663152,1464998,3679902,2066082,2183920,1729428,1741198,1392743,1828118,2482329,2099866,780521,1454701,1367575,1302568,2153695,2562931,807087,723399,2454799,1286278,1235406,1830717,1680430,1760710,1675083,1292501,1143116,1867691,1681119,1809132,1983613,2151909,1511485,1587773,2117656,2306197,2178436,1934778,2084244,710845,3259776,3116071,2440332,3293386,2612071,2024955,3175915,2939753,1729425,3280553,1781118,1850262,2671869,2933306,2087686,2661547,1775809,1076145,2089828,0,1742933,1120385,2013519,1660478,1809771,2292664,2351776,2583673,2261628,4885559,4052189,4534710,4191908,4304377,2060370,2585784,3141962,2320485,3227319,1910857,3588634,3741221,4100086,4732308,5070551,4829659,3280093,3751884,609757,3623226,2991938,1200762,2367703,0,4102526,3520861,4304212,2633329,4119888,4771881,4170888,3341591,2450902,2956529,3141216,3319501,2273177,2818555,2400997,2057797,2687763,2089346,1640011,2681961,2672314,3252648,4719162,2384343,2903336,3491770,891959,3743915,2427959,2186616,2417498,2614340,3195037,2572339,3490040,2536940,1556537,1635415,1360999,1996059,80141,2762897,1233703,1229684,1870747,1536464,1369280,618634,976318,587695,552351,506991,386298,810526,406664,574526,1215685,1163599,945189,1214564,1269151,435171,612332,533023,972783,732086,555266,636408,746800,668895,414464,532017,413866,717537,391514,2272717,1249080,1528822,2040407,1657725,3986373,6914010,5375133,6764161,8465013,4224366,5979191,3387111,4814713,5058161,2577079,4894440,4056585,5211912,5342763,5808939,7342662,5993381,4317280,6541620,5535404,4582069,7103724,6711716,6585702,5184777,2765923,6487643,8607587,6422241,5134571,7443304,6715276,6937140,5375523,2632185,2143706,2793982,2419304,1625238,1316579,3434305,2945717,2993256,3117510,2676204,2724649,2634663,3255511,4270651,3592086,4692705,1863297,3983747,2873598,2131117,3465794,2677062,3575859,3057529,2724405,4667265,3690308,5454216,3835726,3657442,4743290,3943756,4254472,4372612,968679,1404105,1595453,1725208,3909335,2588927,3509203,2913431,2899531,3521357,5229325,2425131,2796885,2372252,3619582,3940467,3619380,2726438,4874667,5794132,2198831,2624949,2452309,1926483,2009263,3037221,2824418,1836793,2507394,2246450,3516253,3407556,1928384,2816228,3280876,1534111,1959003,1543986,1525560,2017598,1566614,1268990,1519889,1305757,1933397,2157340,3217470,2136217,1210736,2140702,2281335,1839719,2211011,2722311,2700613,1755249,1498258,1488997,2170115,2004877,1392004,1942466,1635342,1591406,1590732,1789704,1297340,1277357,1068181,1249637,7556658,9318817,9563239,5186471,7980087,11005564,8008719,4444027,6406498,13571747,8421716,7768669,11298552,7690392,7993690,10495391,3271189,10970367,6898749,7075182,8425872,5233584,5014811,16696109,11041888,5360754,10321744,8233361,14580515,11765288,9636428,12717948,17898830,10236418,10625881,2668730,2449882,4570200,4233888,3337569,4614794,1908731,3936678,5818776,2122779,1361124,6039190,6680436,3145571,6927079,1881112,1588672,2626320,2456998,2298692,2130849,2439639,2378617,5294626,3439699,3364263,1846003,5848272,4629128,4086087,2838164,5335203,3854406,2163265,4558111,4330153,6488650,7970877,4566635,5792122,6252600,12767612,4805984,10280212,12089905,2794294,2024085,2860648,5356026,8231183,1675985,16915315,4902779,9972240,7144773,6134456,4825189,2401586,4895339,7127396,5771473,11431996,14359648,10398750,8889586,13544810,13682994,15427246,6140688,11102646,1218594,588125,708855,922563,900521,956738,924267,3644095,1540930,1290341,974137,1217392,2430966,1207533,913946,1015690,2935497,2478471,1270017,1303776,897815,500554,1949415,831502,1127091,458821,1331290,936391,1208641,712839,1138685,837825,1049746,1224560,870225,3085097,2573616,6032998,2630667,1394547,1636090,1538388,674211,1874540,863582,4410739,3743272,2315989,1503977,3352601,3901522,3361932,2535376,1533389,1539225,2442254,1945346,2653381,1707822,2205661,737592,1955945,2178320,1166792,1431114,1381254,1696277,1355654,1476283,958672
CAR 3:0; [M+H]+,CAR 3:0,CAR,435,HILICp,RTMZ-Lib,arb. unit,2,82466,67000,36244,56907,71222,48898,47156,108738,42407,74101,30432,62768,67922,55544,45813,5879,20100,28673,12449,13239,52792,41919,20056,31129,23207,48955,32429,34894,26040,41284,60337,80193,66310,58951,57946,32948,23971,71299,27703,48181,40247,37506,14112,45984,41585,39395,0,30947,11387,5482,36131,33562,5588,10862,37106,9737,18445,15238,29450,46081,32445,23873,14124,26163,12488,29849,24369,34916,11840,16936,28258,43289,38295,30485,38731,5715,53597,55453,37707,43929,41206,30629,38935,41017,12626,54270,30783,26667,47308,47595,37405,34652,23165,16870,44481,0,27249,7853,26315,36652,27407,42425,38900,41690,33615,119696,93193,69253,85843,79614,40449,59947,46757,48278,52723,33491,56440,64436,107368,89954,107606,127565,72599,60625,285144,101558,54812,36079,60847,0,84993,74783,97357,61923,306298,99891,97643,57591,52774,63108,63712,96355,46888,65812,53658,52271,76451,79688,44595,70610,57123,52593,96553,37846,45027,60233,15964,54573,32156,37809,49007,58604,89560,68439,48444,62632,28771,41147,29998,34234,0,33823,26723,20986,19052,88918,92227,38515,54498,28722,36600,43865,29570,62576,33853,33185,77269,60002,65688,77249,48572,26634,31732,38613,47918,76655,53206,53987,63934,75010,46598,41608,30949,42290,27790,170971,97331,127064,193822,125274,129660,175513,121640,161644,251365,135814,112312,66613,183798,135014,53346,68965,236649,130295,220740,124644,139348,116363,63590,119032,87433,76261,175317,260663,216771,123180,53606,134899,245822,108841,57403,133530,118791,120942,83104,46477,60025,51377,68231,49858,47305,128608,65963,92021,104209,77779,64631,71604,92908,104903,107252,128019,64877,96212,91246,72981,87776,75363,128572,120774,86943,185151,125773,182183,147736,116748,164096,126786,143624,123965,268646,148894,200026,492162,102441,153774,181235,207671,358138,280472,181532,207623,260765,183384,308214,650417,171244,538811,203515,288246,397867,273986,344882,648041,604690,447359,276377,274942,522783,1156331,332701,374816,243012,458633,558087,176984,489321,109304,386196,664143,458094,408743,716224,223859,597604,280993,432004,128450,135849,74805,140086,200116,202081,315928,145138,557706,388399,385440,387066,274028,1077960,735739,340561,747151,588277,561639,296386,381225,237338,307383,843445,1470656,1025086,397015,606249,1543165,1538791,526577,988901,1986412,958117,751301,1132656,882675,1013261,949058,460176,1653100,1124975,1072065,999621,818413,721742,2897014,1893832,382867,1134180,1571981,2141070,1658116,954887,1666656,2733490,1753426,1171781,938213,638279,1268835,1778959,872198,401857,461880,299179,907613,406880,177000,746325,1543236,999472,1228048,156023,1027904,507876,392329,561544,229938,556342,212689,210386,389654,602651,260080,533568,560452,259654,223645,787430,1111673,771151,817646,1184282,1451163,805068,1769947,1889970,928427,1692829,1026144,1480164,2050329,1825106,2034179,1563735,2391921,1781889,1563255,1712281,1355013,1051200,1990996,1779341,4062090,1927829,2854299,2041194,1643584,1916220,2492436,1323327,1517428,1440051,2190214,2517952,2143422,1931818,3426964,1278969,1761064,1035802,961940,1329690,1828180,1062278,2267207,1220844,1351160,1289456,1215986,1176363,1384856,2560445,1524248,3315192,1658403,2288669,725841,445855,1838691,866619,1885387,926104,1326553,1042770,1080336,1887049,1937357,1654540,1284429,3000012,1242831,1719265,1583982,700073,2515513,1188991,931278,498065,557558,763693,673383,1011879,2367091,681648,562727,1384949,451384,1144114,620664,742859,1237921,2022630,1451892,4580802,2103093,678748,2107454,1382411,2012423,781759,939855,1048444,1860022,685440,2266330,1444212
CAR 4:0; [M+H]+,CAR 4:0,CAR,470,HILICp,RTMZ-Lib,arb. unit,3,681996,583526,318937,457134,445377,669972,479489,1041770,381115,717494,333470,441540,581819,534960,223287,95789,153795,127912,154808,158157,249132,194860,185520,249813,139914,269774,388612,394783,368604,537226,276552,433113,350532,343640,297265,272108,294231,638030,327887,352883,195046,316464,208463,249666,336559,200204,147662,190513,208339,195529,428987,350845,149576,113328,410558,119957,157949,353352,311232,289952,268501,153003,236185,327485,209802,148865,181499,259727,237744,177081,178041,276827,208614,173576,195188,66844,204988,274126,182051,256126,248837,219879,261541,244305,149507,332113,184142,166036,221464,239064,292774,321022,167593,132295,216065,0,182685,116707,183966,208323,179561,182815,252810,293390,211060,158470,127672,221653,235777,230791,113374,143148,106761,72810,121624,83599,148836,171127,188286,155010,246454,243562,164411,164971,46822,249245,158198,72181,138517,0,226162,266985,311053,145065,395067,178642,209376,164225,126485,137907,196876,153093,71219,119343,100272,99189,161654,112514,80198,157690,162684,131269,171230,68655,223919,179339,73331,119418,78378,78282,137563,175963,201544,134190,147991,150692,62630,111911,57007,103715,0,136019,41613,56146,67222,320855,241736,165145,226394,96019,109742,125297,97194,170823,81793,137690,243745,287707,216908,226011,121447,75389,106034,108905,143275,144441,138298,151476,146645,128603,95980,134861,99821,184853,107109,326545,230231,341130,365835,237909,162177,298310,231026,314272,365439,170732,208689,76044,196045,182682,69358,143218,234795,194862,268329,159005,278581,222212,116741,234324,197537,176540,246040,246580,228822,195219,84581,231367,243832,205820,131630,220270,222952,218891,153490,52938,36291,49664,65384,31836,37933,112777,59422,80227,85450,68256,44851,78247,90665,114779,101874,137344,47036,89132,68759,52307,88274,63373,147516,86422,78569,150628,94337,161583,98455,117163,167353,101903,128611,127665,51068,78519,117377,118520,84033,92804,119560,143342,126696,122563,115322,94190,142594,124602,191200,198306,122676,191832,192914,181662,129221,170023,131999,143718,202005,252746,208335,89324,195154,241166,175208,119469,111454,189456,183205,85452,135461,47074,82746,139362,155020,103551,110799,65844,168624,104166,199383,56851,35587,44459,75039,64956,138223,113968,99488,132580,81018,92032,129072,139519,72623,132953,76835,122432,110093,204808,133819,114744,65741,75815,601701,1199015,2892628,1014727,486894,2509151,2095337,431304,803634,1160369,450564,501237,1542706,360806,560588,817957,524187,1913285,876356,509303,957487,723031,596201,3242535,3289021,743607,2978302,4041685,5257048,2212907,565999,2537319,5238089,850437,1039973,682032,689356,928938,1638143,753809,689446,439081,480929,1201033,359704,251039,766081,1169782,576808,1082989,162988,386451,483523,414149,386162,211468,535030,548635,319350,460220,857747,326669,606397,645929,393027,165506,766959,852166,539852,512283,280390,492916,283558,311342,419454,393274,926902,141246,661085,797516,540864,459875,268708,508094,670217,392787,878240,766643,637178,436206,546194,715432,487394,671287,624638,367357,549502,1179450,387424,473869,693327,664714,1021240,526516,874969,455106,179301,384362,305551,241861,279167,490337,631942,336444,469009,329239,275689,802552,469093,282938,389419,733890,1313709,578049,676542,352427,114251,688579,250879,519805,173661,606457,304191,333551,398074,575312,488200,439158,770915,396398,332697,746281,351937,672735,421772,387978,224843,58481,457302,139752,485184,667053,303979,132182,341856,419953,518769,267597,121169,154514,631171,376527,810066,329153,328139,98229,278637,805962,181103,159611,659372,480671,180637,849179,144785
